date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:20:13	39402/39402	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Mar%202025%2000:20:13%20GMT	https://www.alanjackson.com/welcome	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/welcome.html	(from )
16:20:15	816/816	---M-Z	200	added ('OK')	text/plain	date:Tue,%2004%20Mar%202025%2000:20:16%20GMT	https://www.alanjackson.com/robots.txt		(from )
16:20:19	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2004%20Mar%202025%2000:20:20%20GMT	http://www.googletagmanager.com/gtm.js?id=	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.googletagmanager.com/gtm.25445.delayed	(from https://www.alanjackson.com/welcome)
16:20:19	90011/90011	---MCZ	200	added ('OK')	application/javascript	etag:W/%22d4ffb434b1370dfb0d67e18f29e89143%22	https://mydatascript.bubbleup.com/mydata-non-eu.min.js	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/mydatascript.bubbleup.com/mydata-non-eu.min.js	(from https://www.alanjackson.com/welcome)
16:20:19	3420/3420	---M--	200	added ('OK')	image/png	date:Fri,%2031%20May%202024%2017:33:50%20GMT	https://www.alanjackson.com/assets/153a2e80/images/favicon/apple-touch-icon.png	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/assets/153a2e80/images/favicon/apple-touch-icon.png	(from https://www.alanjackson.com/welcome)
16:20:19	400/400	---M--	200	added ('OK')	image/png	date:Fri,%2031%20May%202024%2017:33:50%20GMT	https://www.alanjackson.com/assets/153a2e80/images/favicon/favicon-32x32.png	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/assets/153a2e80/images/favicon/favicon-32x32.png	(from https://www.alanjackson.com/welcome)
16:20:20	218/218	---M--	200	added ('OK')	image/png	date:Fri,%2031%20May%202024%2017:33:50%20GMT	https://www.alanjackson.com/assets/153a2e80/images/favicon/favicon-16x16.png	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/assets/153a2e80/images/favicon/favicon-16x16.png	(from https://www.alanjackson.com/welcome)
16:20:20	424/424	---M--	200	added ('OK')	text/html	date:Fri,%2031%20May%202024%2017:33:50%20GMT	https://www.alanjackson.com/assets/153a2e80/images/favicon/site.webmanifest	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/assets/153a2e80/images/favicon/site.html	(from https://www.alanjackson.com/welcome)
16:20:20	3759/3759	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2031%20May%202024%2017:33:50%20GMT	https://www.alanjackson.com/assets/153a2e80/images/favicon/safari-pinned-tab.svg	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/assets/153a2e80/images/favicon/safari-pinned-tab.svg	(from https://www.alanjackson.com/welcome)
16:20:21	7406/7406	---M-Z	200	added ('OK')	image/vnd.microsoft.icon	date:Fri,%2031%20May%202024%2017:33:50%20GMT	https://www.alanjackson.com/assets/153a2e80/images/favicon/favicon.ico	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/assets/153a2e80/images/favicon/favicon.ico	(from https://www.alanjackson.com/welcome)
16:20:32	6911/6911	---M-Z	200	added ('OK')	text/css	date:Fri,%2031%20May%202024%2017:34:13%20GMT	https://www.alanjackson.com/assets/de72a815/stylesheets/home.css	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/assets/de72a815/stylesheets/home.css	(from https://www.alanjackson.com/welcome)
16:20:32	969/969	---M-Z	200	added ('OK')	text/css	date:Wed,%2021%20Jun%202023%2005:43:34%20GMT	https://www.alanjackson.com/assets/e548496f/css/dropdown-x.min.css	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/assets/e548496f/css/dropdown-x.min.css	(from https://www.alanjackson.com/welcome)
16:20:32	0/0	---M--	200	added ('OK')	text/css	date:Fri,%2031%20May%202024%2017:34:06%20GMT	https://www.alanjackson.com/assets/960ddba7/stylesheets/default.css	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/assets/960ddba7/stylesheets/default.css	(from https://www.alanjackson.com/welcome)
16:20:33	160/160	---MCZ	200	added ('OK')	text/css	date:Fri,%2031%20May%202024%2017:34:04%20GMT	https://www.alanjackson.com/assets/8d8dcb19/stylesheets/default.css	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/assets/8d8dcb19/stylesheets/default.css	(from https://www.alanjackson.com/welcome)
16:20:34	94470/94470	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2031%20May%202024%2017:33:51%20GMT	https://www.alanjackson.com/assets/153a2e80/javascripts/modernizr-3.5.0.min.js	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/assets/153a2e80/javascripts/modernizr-3.5.0.min.js	(from https://www.alanjackson.com/welcome)
16:20:34	524464/524464	---M-Z	200	added ('OK')	text/css	date:Fri,%2031%20May%202024%2017:34:21%20GMT	https://www.alanjackson.com/assets/153a2e80/stylesheets/theme.css	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/assets/153a2e80/stylesheets/theme.css	(from https://www.alanjackson.com/welcome)
16:20:34	20934/20934	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2021%20Jun%202023%2005:43:28%20GMT	https://www.alanjackson.com/assets/11b6c258/yii.js	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/assets/11b6c258/yii.js	(from https://www.alanjackson.com/welcome)
16:20:34	7086/7086	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2031%20May%202024%2017:33:50%20GMT	https://www.alanjackson.com/assets/153a2e80/images/logo.svg	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/assets/153a2e80/images/logo.svg	(from https://www.alanjackson.com/welcome)
16:20:35	29746/29746	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Mar%202025%2000:20:36%20GMT	https://www.alanjackson.com/about	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/about.html	(from https://www.alanjackson.com/welcome)
16:20:35	0/0	---MC-	302	error ('Found')	text/html	date:Tue,%2004%20Mar%202025%2000:20:36%20GMT	https://www.alanjackson.com/	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/index.html	(from https://www.alanjackson.com/welcome)
16:20:36	78717/78717	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Mar%202025%2000:20:37%20GMT	https://www.alanjackson.com/chronology-awards	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/chronology-awards.html	(from https://www.alanjackson.com/welcome)
16:20:37	50708/50708	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Mar%202025%2000:20:37%20GMT	https://www.alanjackson.com/news	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/news.html	(from https://www.alanjackson.com/welcome)
16:20:37	29467/29467	---MCZ	200	added ('OK')	text/html	date:Tue,%2004%20Mar%202025%2000:20:38%20GMT	https://www.alanjackson.com/tour	C:/Users/HP/Documents/File/Website/alanjackson%20D1%202nd/www.alanjackson.com/tour.html	(from https://www.alanjackson.com/welcome)
